NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
80	VINYL CHLORIDE	62,499 	119,4 	259,8 	429,7 	55,3 	169,0 	0,265 	0,122 	0,969 	259,0 	1,5 	1,4210 	4,823E-02 	-3,669E-05 	1,140E-08 	276,90 	167,04 	8,4	12,31	14,9601 	1803,84 	-43,15 	290	185	48,672 	-3955,89 	-4,823 	1,850 	5321
81	1-CHLORO-1,1-DIFLUOROETHANE	100,496 	142,0 	263,4 	410,2 	40,7 	231,0 	0,279 	0,000 	1,100 	303,0 	2,1 	4,0170 	6,584E-02 	-4,758E-05 	1,267E-08 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
82	ACETYL CHLORIDE	78,498 	160,2 	323,9 	508,0 	58,0 	204,0 	0,280 	0,344 	1,104 	293,0 	2,4 	5,9760 	4,086E-02 	-2,354E-05 	5,300E-09 	0,00 	0,00 	-58,3	-49,29	15,7514 	2447,33 	-55,33 	355	237	0,000 	0,00 	0,000 	0,000 	6850
83	1,1,2-TRICHLOROETHANE	133,405 	236,5 	386,9 	602,0 	41,0 	294,0 	0,240 	0,220 	1,441 	293,0 	1,7 	1,5100 	8,194E-02 	-7,064E-05 	2,339E-08 	346,72 	304,43 	-33,1	-18,52	16,0381 	3110,79 	-56,16 	428	302	0,000 	0,00 	0,000 	0,000 	7960
84	VINYL FLUORIDE	46,044 	130,0 	235,5 	327,8 	51,7 	144,0 	0,277 	0,000 	0,000 	0,0 	1,4 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
85	1,1,1-TRIFLOUROETHANE	84,041 	161,9 	225,5 	346,2 	37,1 	221,0 	0,289 	0,257 	0,000 	0,0 	2,3 	1,3720 	7,502E-02 	-6,203E-05 	2,010E-08 	0,00 	0,00 	-178,2	-162,23	15,8965 	1814,91 	-29,92 	300	270	50,589 	-3540,17 	-5,223 	1,790 	4580
86	ACETONITRILE	41,053 	229,3 	354,8 	548,0 	47,7 	173,0 	0,184 	0,321 	0,782 	293,0 	3,5 	4,8920 	2,857E-02 	-1,073E-05 	7,650E-10 	334,91 	210,05 	21	25,24	16,2874 	2945,47 	-49,15 	390	260	47,394 	-5392,43 	-4,357 	3,490 	7500
87	METHYL ISOCYANATE	57,052 	0,0 	312,0 	491,0 	55,0 	0,0 	0,000 	0,278 	0,958 	293,0 	0,0 	8,0000 	5,420E+02 	2,483E-02 	-1,390E-06 	0,00 	616,78 	-21,5	0	16,3258 	2480,37 	-56,31 	340	230	0,000 	0,00 	0,000 	0,000 	7070
88	ETHYLENE	28,054 	104,0 	169,4 	282,4 	49,7 	129,0 	0,276 	0,085 	0,577 	163,0 	0,0 	0,9090 	3,740E-02 	-1,994E-05 	4,192E-09 	168,98 	93,94 	12,5	16,28	15,5368 	1347,01 	-18,15 	182	120	38,961 	-2282,37 	-3,678 	0,881 	3237
89	1,1-DICHLOROETHANE	98,960 	176,2 	330,4 	523,0 	50,0 	240,0 	0,280 	0,248 	1,168 	298,0 	2,0 	2,9790 	6,439E-02 	-4,896E-05 	1,505E-08 	412,27 	239,10 	-31,05	-17,47	16,0842 	2697,29 	-45,03 	352	242	56,233 	-5422,68 	-5,726 	3,170 	6860
90	1,2-DICHLOROETHANE	98,960 	237,5 	356,6 	561,0 	53,0 	220,0 	0,250 	0,286 	1,250 	289,0 	1,8 	4,8930 	5,518E-02 	-3,435E-05 	8,094E-09 	473,95 	277,98 	-31	-17,65	16,1764 	2927,17 	-50,22 	373	240	51,956 	-5712,66 	-4,991 	3,300 	7650
91	1,1-DIFLOUROETHANE	66,051 	156,2 	248,4 	386,6 	44,4 	181,0 	0,253 	0,266 	0,000 	0,0 	2,3 	2,0720 	5,722E-02 	-3,480E-05 	8,107E-09 	319,27 	186,56 	-118	-104,26	16,1871 	2095,35 	-29,16 	273	238	48,591 	-3837,61 	-4,811 	1,870 	5100
92	ACETALDEHYDE	44,054 	150,2 	293,6 	461,0 	55,0 	154,0 	0,220 	0,303 	0,778 	293,0 	2,5 	1,8430 	4,353E-02 	-2,404E-05 	5,685E-09 	368,70 	192,82 	-39,76	-31,86	16,2481 	2465,15 	-37,15 	320	210	0,000 	0,00 	0,000 	0,000 	6150
93	ETHYLENE OXIDE	44,054 	161,0 	283,5 	469,0 	71,0 	140,0 	0,258 	0,200 	0,899 	273,0 	1,9 	-1,7960 	5,308E-02 	-3,001E-05 	6,190E-09 	341,88 	194,22 	-12,58	-3,13	16,7400 	2567,61 	-29,01 	310	200	0,000 	0,00 	0,000 	0,000 	6120
94	ACETIC ACID	60,052 	289,8 	391,1 	594,4 	57,1 	171,0 	0,200 	0,454 	1,049 	293,0 	1,3 	1,1560 	6,087E-02 	-4,187E-05 	1,182E-08 	600,94 	306,21 	-103,93	-90,03	16,8080 	3405,57 	-56,34 	430	290	57,834 	-6841,98 	-5,647 	3,440 	5660
95	METHYL FORMATE	60,052 	174,2 	304,9 	487,2 	59,2 	172,0 	0,255 	0,252 	0,974 	293,0 	1,8 	0,3420 	6,449E-02 	-4,656E-05 	1,362E-08 	363,19 	212,70 	-83,6	-71,03	16,5104 	2590,87 	-42,60 	324	225	57,840 	-5258,90 	-5,939 	2,230 	6740
96	ETHYL BROMIDE	108,966 	154,6 	311,5 	503,8 	61,5 	215,0 	0,320 	0,254 	1,451 	298,0 	2,0 	1,5900 	5,608E-02 	-3,517E-05 	9,086E-09 	369,80 	220,68 	-15,3	-6,29	15,9338 	2511,68 	-41,44 	333	226	37,985 	-4246,27 	-3,090 	2,290 	6330
97	ETHYL CHLORIDE	64,515 	136,8 	285,4 	460,4 	52,0 	199,0 	0,274 	0,190 	0,896 	293,0 	2,0 	-0,1320 	6,225E-02 	-4,394E-05 	1,325E-08 	320,94 	190,83 	-26,7	-14,34	15,9800 	2332,01 	-36,48 	310	200	48,665 	-4364,03 	-4,733 	2,260 	5900
98	ETHYL FLUORIDE	48,060 	129,9 	235,4 	375,3 	49,6 	169,0 	0,272 	0,238 	0,000 	0,0 	2,0 	1,0380 	5,207E-02 	-2,784E-05 	5,757E-09 	0,00 	0,00 	-62,5	-50,08	16,0686 	1966,89 	-27,00 	252	170	0,000 	0,00 	0,000 	0,000 	0
99	ETHYLENE IMINE	43,069 	195,0 	329,8 	0,0 	0,0 	0,0 	0,000 	0,000 	0,833 	298,0 	1,9 	-4,9610 	7,219E-02 	-4,927E-05 	1,349E-08 	0,00 	0,00 	29,5	42,54	16,4227 	2610,44 	-63,15 	359	248	0,000 	0,00 	0,000 	0,000 	7660
100	ETHANE	30,070 	89,9 	184,5 	305,4 	48,2 	148,0 	0,285 	0,098 	0,548 	183,0 	0,0 	1,2920 	4,254E-02 	-1,657E-05 	2,081E-09 	156,60 	95,57 	-20,24	-7,87	15,6637 	1511,42 	-17,16 	199	130	38,759 	-2464,42 	-3,601 	1,073 	3515
101	DIMETHYL ETHER	46,069 	131,7 	248,3 	400,0 	53,0 	178,0 	0,287 	0,192 	0,667 	293,0 	1,3 	4,0640 	4,277E-02 	-1,250E-05 	-4,580E-10 	0,00 	0,00 	-43,99	-26,99	16,8467 	2361,44 	-17,10 	265	179	48,857 	-3840,19 	-4,856 	1,710 	5140
102	ETHANOL	46,069 	159,1 	351,5 	516,2 	63,0 	167,0 	0,248 	0,635 	0,789 	293,0 	1,7 	2,1530 	5,113E-02 	-2,004E-05 	3,280E-10 	686,64 	300,88 	-56,12	-40,22	18,9119 	3803,98 	-41,68 	369	270	83,319 	-7994,90 	-9,201 	2,350 	9260
103	ETHYLENE GLYCOL	62,069 	260,2 	470,4 	645,0 	76,0 	186,0 	0,270 	0,000 	1,114 	293,0 	2,2 	8,5260 	5,931E-02 	-3,576E-05 	7,190E-09 	1365,00 	402,41 	-9,3	-72,77	20,2501 	6022,18 	-28,25 	494	364	0,000 	0,00 	0,000 	0,000 	12550
104	ETHYL MERCAPTAN	62,134 	125,3 	308,2 	499,0 	54,2 	207,0 	0,274 	0,190 	0,839 	293,0 	1,5 	3,5640 	5,615E-02 	-3,239E-05 	7,552E-09 	419,60 	206,21 	-11,02	-1,12	16,0077 	2497,23 	-41,77 	330	224	51,954 	-4900,34 	-5,139 	2,550 	6400
105	DIMETHYL SULFIDE	62,130 	174,9 	310,5 	503,0 	54,6 	201,0 	0,266 	0,190 	0,848 	293,0 	1,5 	5,8050 	4,478E-02 	-1,642E-05 	9,790E-10 	267,34 	184,24 	-8,97	1,66	16,0001 	2511,56 	-42,35 	331	226	0,000 	0,00 	0,000 	0,000 	6440
106	ETHYL AMINE	45,085 	192,0 	289,7 	456,0 	55,5 	178,0 	0,264 	0,284 	0,683 	293,0 	1,3 	0,8820 	6,572E-02 	-3,781E-05 	9,096E-09 	340,54 	192,44 	-11	8,91	17,0073 	2618,73 	-37,30 	316	215	64,056 	-5352,01 	-6,875 	2,080 	6700
107	DIETHYL AMINE	45,085 	181,0 	280,0 	437,6 	52,4 	187,0 	0,272 	0,288 	0,656 	293,0 	0,0 	-0,0410 	6,438E-02 	-3,175E-05 	5,587E-09 	0,00 	0,00 	-4,5	16,25	16,2653 	2358,77 	-35,15 	310	218	67,611 	-5350,44 	-7,435 	2,030 	6330
108	MONOETHANOLAMINE	61,084 	283,5 	443,5 	614,0 	44,0 	196,0 	0,170 	0,000 	1,016 	293,0 	2,6 	2,2240 	7,188E-02 	-4,342E-05 	1,112E-08 	1984,10 	367,03 	-48,18	0	17,8174 	3988,33 	-86,93 	477	344	0,000 	0,00 	0,000 	0,000 	12000
109	ETHYLENEDIAMINE	60,099 	284,0 	390,4 	593,0 	62,0 	206,0 	0,260 	0,510 	0,896 	293,0 	1,9 	9,1470 	5,749E-02 	-1,036E-05 	-9,430E-09 	839,76 	316,41 	0	0	16,4082 	3108,49 	-72,15 	425	292	0,000 	0,00 	0,000 	0,000 	10000
110	ACRYLONITRILE	53,064 	189,5 	350,5 	536,0 	45,0 	210,0 	0,210 	0,350 	0,806 	293,0 	3,5 	2,5540 	5,273E-02 	-3,739E-05 	1,099E-08 	343,31 	210,42 	44,2	46,68	15,9253 	2782,21 	-51,15 	385	255	0,000 	0,00 	0,000 	0,000 	7800
111	PROPADIENE	40,065 	136,9 	238,7 	393,0 	54,0 	162,0 	0,271 	0,313 	0,658 	238,0 	0,2 	2,3660 	4,723E-02 	-2,822E-05 	6,645E-09 	0,00 	0,00 	45,92	48,37	13,1563 	1054,72 	-77,08 	257	174	0,000 	0,00 	0,000 	0,000 	4450
112	METHYL ACETYLENE	40,065 	170,5 	250,0 	402,4 	55,5 	164,0 	0,276 	0,218 	0,706 	223,0 	0,7 	3,5130 	4,453E-02 	-2,803E-05 	7,701E-09 	0,00 	0,00 	44,32	46,47	15,6227 	1850,66 	-44,07 	267	183	0,000 	0,00 	0,000 	0,000 	5290
113	ACROLEIN	56,064 	186,0 	326,0 	506,0 	51,0 	0,0 	0,000 	0,330 	0,839 	293,0 	2,9 	2,8590 	5,029E-02 	-2,557E-05 	4,552E-09 	388,17 	217,14 	-16,94	-15,57	15,9057 	2606,53 	-45,15 	360	235	0,000 	0,00 	0,000 	0,000 	6770
114	ACRYLIC ACID	72,064 	285,0 	414,0 	615,0 	56,0 	210,0 	0,230 	0,560 	1,051 	293,0 	0,0 	0,4160 	7,621E-02 	-5,618E-05 	1,666E-08 	733,02 	307,15 	-80,36	-68,37	16,5617 	3319,18 	-80,15 	450	315	0,000 	0,00 	0,000 	0,000 	11000
115	VINYL FORMATE	72,064 	215,5 	319,6 	475,0 	57,0 	210,0 	0,310 	0,550 	0,963 	293,0 	0,0 	6,6430 	4,392E-02 	-8,502E-06 	-5,577E-08 	428,40 	224,83 	0	0	16,6531 	2569,68 	-63,15 	350	240	0,000 	0,00 	0,000 	0,000 	7680
116	ALLYL CHLORIDE	76,526 	138,7 	318,3 	514,0 	47,0 	234,0 	0,260 	0,130 	0,937 	293,0 	2,0 	0,6040 	7,277E-02 	-5,442E-05 	1,742E-08 	368,27 	210,61 	-0,15	10,42	15,9772 	2531,92 	-47,15 	350	230	0,000 	0,00 	0,000 	0,000 	6475
117	1,2,3-TRICHLOROPROPANE	147,432 	258,5 	429,0 	651,0 	39,0 	348,0 	0,250 	0,310 	1,389 	293,0 	0,0 	6,4210 	8,651E-02 	-6,656E-05 	2,099E-08 	818,63 	342,88 	-44,4	-23,37	16,1246 	3417,27 	-69,15 	470	315	0,000 	0,00 	0,000 	0,000 	9180
118	PROPIONITRILE	55,080 	180,3 	370,5 	564,4 	41,3 	230,0 	0,205 	0,318 	0,782 	293,0 	3,7 	3,6790 	5,363E-02 	-2,628E-05 	4,667E-09 	366,77 	225,86 	12,1	22,98	15,9571 	2940,86 	-55,15 	405	270	53,398 	-5937,37 	-5,200 	4,280 	7710
119	CYCLOPROPANE	42,081 	145,7 	240,4 	397,8 	54,2 	170,0 	0,282 	0,264 	0,563 	288,0 	0,0 	-8,4170 	9,108E-02 	-6,882E-05 	2,158E-08 	0,00 	0,00 	12,74	24,95	15,8599 	1971,04 	-26,65 	245	180	0,000 	0,00 	0,000 	0,000 	4790
120	PROPYLENE	42,081 	87,9 	225,4 	365,0 	45,6 	181,0 	0,275 	0,148 	0,612 	223,0 	0,4 	0,8860 	5,602E-02 	-2,771E-05 	5,266E-09 	273,84 	131,63 	4,88	14,99	15,7027 	1807,53 	-26,15 	240	160	44,794 	-3260,31 	-4,379 	1,630 	4400
121	1,2-DICHLOROPROPANE	112,987 	172,7 	369,5 	577,0 	44,0 	226,0 	0,210 	0,240 	1,150 	293,0 	1,9 	2,4960 	8,729E-02 	-6,219E-05 	1,849E-08 	514,36 	281,03 	-39,6	-19,86	16,0385 	2985,07 	-52,16 	408	288	0,000 	0,00 	0,000 	0,000 	7500
122	ACETONE	58,080 	178,2 	329,4 	508,1 	46,4 	209,0 	0,232 	0,309 	0,790 	293,0 	2,9 	1,5050 	6,224E-02 	-2,992E-05 	4,867E-09 	367,25 	209,68 	-52	-36,58	16,6513 	2940,46 	-35,93 	350	241	0,000 	0,00 	0,000 	0,000 	6960
123	ALLYL ALCOHOL	58,080 	144,0 	370,0 	545,0 	56,4 	203,0 	0,256 	0,630 	0,855 	288,0 	0,0 	-0,2640 	7,515E-02 	-4,853E-05 	1,271E-08 	793,52 	307,26 	-31,55	-17,03	16,9066 	2928,20 	-85,15 	400	286	0,000 	0,00 	0,000 	0,000 	9550
124	PROPIONALDEHYDE	58,080 	193,0 	321,0 	496,0 	47,0 	223,0 	0,260 	0,313 	0,797 	293,0 	2,7 	2,8000 	6,244E-02 	-3,105E-05 	5,078E-09 	343,44 	219,33 	-45,9	-31,18	16,2315 	2659,02 	-44,15 	350	235	0,000 	0,00 	0,000 	0,000 	6760
125	PROPYLENE OXIDE	58,080 	161,0 	307,5 	482,2 	48,6 	186,0 	0,228 	0,269 	0,829 	293,0 	2,0 	-2,0200 	7,779E-02 	-4,750E-05 	1,152E-08 	377,43 	213,36 	-22,17	-6,16	15,3227 	2107,58 	-64,87 	340	225	0,000 	0,00 	0,000 	0,000 	6450
126	VINYL METHYL ETHER	58,080 	151,5 	278,0 	436,0 	47,0 	205,0 	0,270 	0,340 	0,750 	293,0 	0,0 	3,7330 	5,592E-02 	-2,316E-05 	2,537E-09 	318,41 	180,98 	0	0	14,4602 	1950,22 	-25,15 	315	190	0,000 	0,00 	0,000 	0,000 	4550
127	PROPIONIC ACID	74,080 	252,5 	414,0 	612,0 	53,0 	230,0 	0,242 	0,536 	0,993 	293,0 	1,5 	1,3540 	8,811E-02 	-6,842E-05 	2,359E-08 	535,04 	299,32 	-108,78	-88,27	17,3789 	3723,42 	-67,48 	450	315	76,490 	-8619,48 	-8,139 	3,930 	7700
128	ETHYL FORMATE	74,080 	193,8 	327,4 	508,4 	46,8 	229,0 	0,257 	0,283 	0,927 	289,0 	2,0 	5,8930 	5,532E-02 	-5,063E-06 	-1,280E-08 	400,91 	226,23 	-88,74	0	16,1611 	2603,30 	-54,15 	360	240	60,604 	-5724,26 	-6,305 	3,070 	7200
129	METHYL ACETATE	74,080 	175,0 	330,1 	506,8 	46,3 	228,0 	0,254 	0,324 	0,934 	293,0 	1,7 	3,9530 	5,363E-02 	-1,037E-05 	6,961E-09 	408,62 	224,03 	-97,86	0	16,1295 	2601,92 	-56,15 	360	245	61,268 	-5840,56 	-6,374 	3,080 	7200
130	PROPYL CHLORIDE	78,542 	150,4 	319,6 	503,0 	45,2 	254,0 	0,278 	0,230 	0,891 	293,0 	2,0 	-0,7990 	8,660E-02 	-5,991E-05 	1,779E-08 	374,77 	215,00 	-31,1	-12,11	15,9594 	2581,48 	-42,95 	350	230	0,000 	0,00 	0,000 	0,000 	6510
131	ISOPROPYL CHLORIDE	78,542 	156,0 	308,9 	485,0 	46,6 	230,0 	0,269 	0,232 	0,862 	293,0 	2,1 	0,4400 	8,330E-02 	-5,359E-05 	1,400E-08 	306,25 	212,24 	-35	-14,94	16,0384 	2490,48 	-43,15 	340	225	0,000 	0,00 	0,000 	0,000 	6280
132	PROPANE	44,097 	85,5 	231,1 	369,8 	41,9 	203,0 	0,281 	0,152 	0,582 	231,0 	0,0 	-1,0090 	7,315E-02 	-3,789E-05 	7,678E-09 	222,67 	133,41 	-24,82	-5,61	15,7260 	1872,46 	-25,16 	249	164	43,492 	-3266,92 	-4,179 	1,810 	4487
133	1-PROPANOL	60,096 	146,9 	370,4 	536,7 	51,0 	218,5 	0,253 	0,624 	0,804 	293,0 	1,7 	0,5900 	7,942E-02 	-4,431E-05 	1,026E-08 	951,04 	327,83 	-61,28	-38,67	17,5439 	3166,38 	-80,15 	400	285	101,820 	-9416,25 	-11,790 	3,130 	9980
134	ISOPROPYL ALCOHOL	60,096 	184,7 	355,4 	508,3 	47,0 	220,0 	0,248 	0,000 	0,786 	293,0 	1,7 	7,7450 	4,502E-02 	1,530E-05 	-2,212E-08 	1139,70 	323,44 	-65,11	-41,44	18,6929 	3640,20 	-53,54 	374	273	0,000 	0,00 	0,000 	0,000 	9520
135	METHYL ETHYL ETHER	60,096 	134,0 	280,5 	437,8 	43,4 	221,0 	0,267 	0,236 	0,700 	293,0 	1,2 	4,4590 	6,414E-02 	-2,447E-05 	2,138E-09 	303,82 	171,66 	-51,73	-28,12	13,5435 	1161,63 	-112,40 	310	205	74,838 	-5631,77 	-8,549 	2,450 	5900
136	METHYLAL	76,096 	168,0 	315,0 	497,0 	0,0 	0,0 	0,000 	0,000 	0,888 	291,0 	1,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8237 	2415,92 	-52,58 	315	270	0,000 	0,00 	0,000 	0,000 	0
137	1,2-PROPANEDIOL	76,096 	213,0 	460,5 	625,0 	60,0 	237,0 	0,280 	0,000 	1,036 	293,0 	3,6 	0,1510 	1,006E-01 	-7,121E-05 	2,138E-08 	1404,20 	426,74 	-101,33	0	20,5324 	6091,95 	-22,46 	483	357	0,000 	0,00 	0,000 	0,000 	12940
138	1,3-PROPANEDIOL	76,096 	246,4 	487,6 	658,0 	59,0 	241,0 	0,260 	0,000 	1,053 	293,0 	3,7 	1,9750 	8,779E-02 	-5,163E-05 	1,207E-08 	1813,00 	406,96 	-97,71	0	17,2917 	3888,84 	-123,20 	525	380	0,000 	0,00 	0,000 	0,000 	13500
139	GLYCEROL	92,095 	291,0 	563,0 	726,0 	66,0 	255,0 	0,280 	0,000 	1,261 	293,0 	3,0 	2,0120 	1,061E-01 	-7,545E-05 	2,240E-08 	3337,10 	406,00 	-139,8	0	17,2392 	4487,04 	-140,20 	600	440	0,000 	0,00 	0,000 	0,000 	14600
140	METHYL ETHYL SULFIDE	76,157 	167,2 	339,8 	533,0 	42,0 	0,0 	0,000 	0,000 	0,837 	293,0 	0,0 	4,6640 	6,904E-02 	-2,888E-05 	3,073E-09 	0,00 	0,00 	-14,25	2,73	15,9765 	2722,95 	-48,37 	360	250	0,000 	0,00 	0,000 	0,000 	7050
141	N-PROPYL AMINE	59,112 	190,0 	321,8 	497,0 	46,8 	233,0 	0,267 	0,229 	0,717 	293,0 	1,3 	1,5980 	8,356E-02 	-4,352E-05 	8,566E-09 	0,00 	0,00 	-17,3	9,51	15,9957 	2551,72 	-49,15 	350	235	0,000 	0,00 	0,000 	0,000 	7100
142	ISOPROPYL AMINE	59,112 	177,9 	305,6 	476,0 	50,0 	229,0 	0,290 	0,297 	0,688 	293,0 	0,0 	-1,7880 	9,973E-02 	-6,749E-05 	1,994E-08 	433,64 	228,46 	-20,02	0	16,3637 	2582,35 	-40,15 	337	239	0,000 	0,00 	0,000 	0,000 	6500
143	TRIMETHYL AMINE	59,112 	156,0 	276,1 	433,2 	40,2 	254,0 	0,287 	0,195 	0,633 	293,0 	0,6 	-1,9600 	9,486E-02 	-5,299E-05 	1,104E-08 	0,00 	0,00 	-5,7	23,64	16,0499 	2230,51 	-39,15 	305	215	50,869 	-4261,51 	-5,127 	2,590 	5760
144	MALEIC ANHYDRIDE	98,058 	326,0 	472,8 	0,0 	0,0 	0,0 	0,000 	0,000 	1,310 	333,0 	4,0 	-3,1230 	8,323E-02 	-5,217E-05 	1,156E-08 	952,48 	365,81 	0	0	16,2747 	3765,65 	-82,15 	516	352	0,000 	0,00 	0,000 	0,000 	0
145	VINYLACETYLENE	52,076 	227,6 	278,1 	455,0 	49,0 	202,0 	0,260 	0,092 	0,710 	273,0 	0,0 	1,6140 	6,785E-02 	-5,410E-05 	1,782E-08 	0,00 	0,00 	72,8	73,13	16,0100 	2203,57 	-43,15 	305	200	0,000 	0,00 	0,000 	0,000 	5850
146	FURAN	68,075 	187,5 	304,5 	490,2 	54,3 	218,0 	0,294 	0,204 	0,938 	293,0 	0,7 	-8,4860 	1,032E-01 	-8,251E-05 	2,566E-08 	389,40 	222,70 	-8,29	0,21	16,0612 	2442,70 	-45,41 	363	238	0,000 	0,00 	0,000 	0,000 	6474
147	THIOPHENE	84,136 	234,9 	357,3 	579,4 	56,2 	219,0 	0,259 	0,200 	1,071 	289,0 	0,5 	-7,3100 	1,070E-01 	-9,009E-05 	2,992E-08 	498,60 	264,90 	27,66	30,3	16,0243 	2869,07 	-51,80 	380	260	0,000 	0,00 	0,000 	0,000 	7520
148	ALLYL CYANIDE	67,091 	186,7 	392,0 	585,0 	39,0 	265,0 	0,220 	0,390 	0,835 	293,0 	3,4 	5,1830 	6,142E-02 	-2,847E-05 	2,936E-09 	521,30 	252,03 	0	0	16,0019 	3128,75 	-58,15 	430	400	0,000 	0,00 	0,000 	0,000 	8200
149	PYRROLE	67,091 	0,0 	403,0 	640,0 	0,0 	0,0 	0,000 	0,000 	0,967 	294,0 	1,8 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	25,88	0	16,7966 	3457,47 	-62,73 	440	330	0,000 	0,00 	0,000 	0,000 	0
150	1-BUTYNE	54,092 	147,4 	281,2 	463,7 	46,5 	220,0 	0,270 	0,050 	0,650 	289,0 	0,8 	2,9970 	6,553E-02 	-3,690E-05 	8,240E-09 	0,00 	0,00 	39,48	48,3	16,0605 	2271,42 	-40,30 	300	200	0,000 	0,00 	0,000 	0,000 	5970
151	2-BUTYNE	54,092 	240,9 	300,2 	488,6 	50,2 	221,0 	0,277 	0,124 	0,691 	293,0 	0,8 	3,8040 	5,688E-02 	-2,555E-05 	4,188E-09 	0,00 	0,00 	34,97	44,32	16,2871 	2536,78 	-37,34 	320	240	0,000 	0,00 	0,000 	0,000 	6370
152	1,2-BUTADIENE	54,092 	137,0 	284,0 	443,7 	44,4 	219,0 	0,267 	0,255 	0,652 	293,0 	0,4 	2,6750 	6,505E-02 	-3,507E-05 	7,378E-09 	0,00 	0,00 	38,77	47,43	16,1039 	2397,26 	-30,88 	305	245	0,000 	0,00 	0,000 	0,000 	5800
153	1,3-BUTADIENE	54,092 	164,3 	268,7 	425,0 	42,7 	221,0 	0,270 	0,195 	0,621 	293,0 	0,0 	-0,4030 	8,165E-02 	-5,589E-05 	1,513E-08 	300,59 	163,12 	26,33	36,01	15,7727 	2142,66 	-34,30 	290	215	0,000 	0,00 	0,000 	0,000 	5370
154	VINYL ACETATE	86,091 	173,0 	346,0 	525,0 	43,0 	265,0 	0,260 	0,340 	0,932 	293,0 	1,7 	3,6210 	6,676E-02 	-2,103E-05 	-3,965E-09 	457,89 	235,35 	-75,5	0	16,1003 	2744,68 	-56,15 	379	255	0,000 	0,00 	0,000 	0,000 	0
155	ACETIC ANHYDRIDE	102,089 	199,0 	412,0 	569,0 	46,2 	290,0 	0,287 	0,000 	1,087 	293,0 	3,0 	-5,5240 	1,215E-01 	-8,551E-05 	2,349E-08 	502,33 	286,04 	-137,6	-113,93	16,3982 	3287,56 	-75,11 	437	308	0,000 	0,00 	0,000 	0,000 	9850
156	DIMETHYL OXALATE	118,090 	327,0 	436,6 	628,0 	39,3 	0,0 	0,000 	0,000 	1,150 	288,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
157	SUCCINIC ACID	118,090 	456,0 	508,0 	0,0 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	2,2 	3,6000 	1,120E-02 	-7,508E-05 	1,896E-08 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
158	BUTYRONITRILE	69,107 	161,0 	391,0 	582,2 	37,4 	285,0 	0,223 	0,371 	0,792 	293,0 	3,8 	3,6330 	7,657E-02 	-3,912E-05 	7,123E-09 	438,04 	256,84 	8,14	25,97	16,2092 	3202,21 	-56,16 	433	307	56,605 	-6476,68 	-5,599 	5,030 	8220
159	METHYL ACRYLATE	86,091 	196,7 	353,5 	536,0 	42,0 	265,0 	0,250 	0,350 	0,956 	293,0 	0,0 	3,6220 	6,678E-02 	-2,103E-05 	-3,966E-09 	451,02 	245,30 	0	0	16,1088 	2788,43 	-59,15 	390	260	0,000 	0,00 	0,000 	0,000 	7650
160	1-BUTENE	56,108 	87,8 	266,9 	419,6 	39,7 	240,0 	0,277 	0,187 	0,595 	293,0 	0,3 	-0,7150 	8,436E-02 	-4,754E-05 	1,066E-08 	256,30 	151,86 	-0,03	17,04	15,7564 	2132,42 	-33,15 	295	190	48,333 	-3996,80 	-4,788 	2,460 	5238
161	CIS-2-BUTENE	56,108 	134,3 	276,9 	435,6 	41,5 	234,0 	0,272 	0,202 	0,621 	293,0 	0,3 	0,1050 	7,054E-02 	-2,431E-05 	-1,470E-10 	268,94 	155,34 	-1,67	15,74	15,8171 	2210,71 	-36,15 	305	200	49,609 	-4217,05 	-4,938 	2,580 	5580
162	TRANS-2-BUTENE	56,108 	167,6 	274,0 	428,6 	40,5 	238,0 	0,274 	0,214 	0,604 	293,0 	0,0 	4,3750 	6,123E-02 	-1,675E-05 	-2,147E-09 	259,01 	153,30 	-2,67	15,05	15,8177 	2212,32 	-33,15 	300	200	50,137 	-4174,56 	-5,041 	2,660 	5439
163	CYCLOBUTANE	56,108 	182,4 	285,7 	459,9 	49,2 	210,0 	0,274 	0,209 	0,694 	293,0 	0,0 	-12,0030 	1,200E-01 	-8,498E-05 	2,501E-08 	0,00 	0,00 	6,37	26,3	15,9254 	2359,09 	-31,78 	290	200	0,000 	0,00 	0,000 	0,000 	5780
